Continent	Region	country_code	Country	Subregion	Category	Product	Description	Raw_material_ontology	Raw_material_additional_information	Reference	Webpage_reference	 Comments
Europe	Eastern Europe (151)	100	Bulgaria	"balkans, village of Cherni Vit"	cheese	Tcherni Vit Green Cheese	"The goal of the Presidium is to preserve Tcherni Vit Green Cheese, which is in grave danger of extinction. The cheese is made from the milk of the local goat breed, known as Teteven. The cheese can be left in the brine for up to two years. The barrels are left in the mountains until the end of the grazing season, then brought down to the village in October and stored in cellars. The molds do not begin to form until the barrel is opened. Once exposed to the moist air the molds form spontaneously, quickly covering the exterior. If there are holes in the covering, the molds will also penetrate the inside of the cheeses, resulting in one of the very few cheeses in the world with a natural blue marbling. https://www.fondazioneslowfood.com/en/slow-food-presidia/tcherni-vit-green-cheese/  (Rossana Coda) This cheese is exclusively produced in the village of Cherni Vit, situated in the Teteven municipality, Northern pre-mountain central region of Balkan Mountains, Bulgaria. Its production depends significantly on the local microclimate and the local sheep breed called ""Tetevenska."" This hard cheese has a crust of noble molds and is primarily made from raw ewe milk, occasionally using goat milk as well."	sheep milk	"raw ewe milk, sometimes goat milk "	"Rossana Coda, Dimov, S. G., Gyurova, A., Zagorchev, L., Dimitrov, T., Georgieva-Miteva, D., & Peykov, S. (2021). NGS-Based Metagenomic Study of Four Traditional Bulgarian Green Cheeses from Tcherni Vit. LWT, 152, 112278. https://doi.org/10.1016/J.LWT.2021.112278"		
Europe	Eastern Europe (151)	100	Bulgaria		dairy product	yoghurt	the original		milk			
Africa	Western Africa (011)	854	Burkina Faso		fermented legumes	Bikalga	"Condiment. Bikalga is a fermented product made from Hibiscus sabdariffa (karkade, roselle, graines d’oseille) through alkaline fermentation. It is a popular traditional condiment in Burkina Faso and is used to flavor various dishes. Rich in protein (22-30%), lipids, carbohydrates, essential amino acids, and fatty acids, Bikalga serves as a valuable nutritional source in the African diet."		Roselle (Hibiscus sabdariffa)	"Tamang (2020), Ouoba, L. I. I., Parkouda, C., Diawara, B., Scotti, C., & Varnam, A. H. (2008). Identification of Bacillus spp. from Bikalga, fermented seeds of Hibiscus sabdariffa: phenotypic and genotypic characterization. Journal of Applied Microbiology, 104(1), 122–131. https://doi.org/10.1111/J.1365-2672.2007.03550.X"		
Africa	Western Africa (011)	854	Burkina Faso		fermented legumes	Soumbala	"Alkaline, sticky. Soumbala is a popular African fermented food seasoning made from African locust bean (Parkia biglobosa) seeds through alkaline fermentation. It is widely produced in various West African countries. Due to its protein and fat content, Soumbala has been used as a cost-effective meat substitute for poorer communities. In Burkina Faso, the traditional process of making Soumbala involves several steps: boiling the seeds for 24-40 hours, dehulling, a second parboiling for 1-3 hours, fermentation for 48-72 hours at 25-30°C, followed by air drying and molding the mixture into different-sized balls."		Locust bean (Parkia biglobosa)	"Tamang (2020), Yérobessor, D., Iliassou, M., Marius, K. S., Jerry, O. U., Lewis, I. E., Mamoudou, H. D., & Alfred, S. T. (2020). Production technique, safety and quality of soumbala, a local food condiment sold and consumed in Burkina Faso. African Journal of Food Science, 14(2), 38–52. https://doi.org/10.5897/AJFS2019.1891"		
Africa	Western Africa (011)	854	Burkina Faso		fermented cereal	Ben-saalga	"Weaning food. In Africa, traditional cereal-based fermented foods like ben-saalga are commonly introduced as complementary foods for infants and young children. Ben-saalga is a well-liked fermented gruel prepared from pearl millet (Pennisetum glaucum) and is particularly popular in Burkina Faso for its nutritional benefits."		pearl millet (Pennisetum glaucum)	"Tamang (2020), Tou, E. H., Guyot, J. P., Mouquet-Rivier, C., Rochette, I., Counil, E., Traoré, A. S., & Trèche, S. (2006). Study through surveys and fermentation kinetics of the traditional processing of pearl millet (Pennisetum glaucum) into ben-saalga, a fermented gruel from Burkina Faso. International Journal of Food Microbiology, 106(1), 52–60. https://doi.org/10.1016/J.IJFOODMICRO.2005.05.010"		
Africa	Sub-Saharan Africa (202)	108	Burundi	Eastern Africa (014)	dairy product	amateregua	"Amateregwa is a by-product of making Amavuta (Butter) from Urubu. It has a smoother appearance and a thinner consistency compared to butter, but thicker than fresh milk. All categories of people consume it at household level. It has a pleasant sour taste. "	cow milk	raw cow milk	"Aloys, N., & Angeline, N. (2009b). Traditional fermented foods and beverages in Burundi. Food Research International, 42(5–6), 588–594. https://doi.org/10.1016/J.FOODRES.2009.02.021"		
Africa	Sub-Saharan Africa (202)	108	Burundi	Eastern Africa (014)	dairy product	amavuta	"Is a traditional fermented dairy product of Burundi. In the preparation of amavuta in Burundi, ergo (sour milk) is churned in various vessels . Hot water is also used during the preparation. During the production of urubu , butter is removed from the soured milk that has been churned. Churning involves rocking the container (gourds or clay pots) back and forth until butter granules form. Frequently, a straw is inserted through the vent into the churn. When small grains of amavuta adhere to the straw surface, the break point is reached. "	cow milk	raw cow milk	"Aloys, N., & Angeline, N. (2009b). Traditional fermented foods and beverages in Burundi. Food Research International, 42(5–6), 588–594. https://doi.org/10.1016/J.FOODRES.2009.02.021"		
Africa	Sub-Saharan Africa (202)	108	Burundi	Eastern Africa (014)	fermented roots	Ikivunde	"cassava based fermented product tipical from Burundi. The processing steps for making ikvunde, a white flour from bitter cassava involve peeling, washing, cutting, and soaking the cassava roots in an earthenware vessel for 5 days until they become soft or abundant froth appears on the water surface. The fermented roots are then removed and sun-dried on mats, racks, or roofs for 3 days to 1 week. After drying, the cassava pieces are pounded and sieved to produce the white flour. "		cassava roots	"Aloys, N., & Angeline, N. (2009b). Traditional fermented foods and beverages in Burundi. Food Research International, 42(5–6), 588–594. https://doi.org/10.1016/J.FOODRES.2009.02.021"		
Africa	Sub-Saharan Africa (202)	108	Burundi	Eastern Africa (014)	fermented roots	Imikembe	"cassava based fermented product typical from Burundi. Cassava roots undergo a series of steps for the preparation of Imikembe. First, they are peeled, washed, and boiled in a pot until fully cooked. Once cooked, the cassava is disintegrated to remove any fibers. After this step, the cassava is left to ferment for a week, with a water change done every two days. The final product is then ready to be consumed and is commonly enjoyed with beans and various legumes."		cassava roots	"Aloys, N., & Angeline, N. (2009b). Traditional fermented foods and beverages in Burundi. Food Research International, 42(5–6), 588–594. https://doi.org/10.1016/J.FOODRES.2009.02.021"		
Africa	Sub-Saharan Africa (202)	108	Burundi	Eastern Africa (014)	alcoholic beverage	Impeke	"sorghum beer. Impeke is a traditional food made from sorghum (Sorghum vulgare) and is primarily consumed by people in the Mugamba region, located from the center to the south of Burundi. Studies have shown that the nutritional value of sorghum can be enhanced through fermentation (increase of essential amino acids like lysine and methionine, as well as albumin and globulin fractions). For the production processes of malting and brewing are followed."	sorghum	sorghum (sorghum vulgare)	"Aloys, N., & Angeline, N. (2009b). Traditional fermented foods and beverages in Burundi. Food Research International, 42(5–6), 588–594. https://doi.org/10.1016/J.FOODRES.2009.02.021"		
Africa	Sub-Saharan Africa (202)	108	Burundi	Eastern Africa (014)	fermented roots	Inyange	"cassava based fermented product. The production involves several steps. Cassava roots are peeled, washed, and cut into pieces before being sun-dried for a day. Then, they are piled together, covered with plantain leaves or straw, and left to ferment for five days. The fermentation process is indicated by the appearance of moulds on the surface. After fermenting, the moulds are scraped off, and the cassava pieces are sun-dried again. After that they are pounded to obtain a slightly dark colored flour. "		cassava roots	"Aloys, N., & Angeline, N. (2009b). Traditional fermented foods and beverages in Burundi. Food Research International, 42(5–6), 588–594. https://doi.org/10.1016/J.FOODRES.2009.02.021"		
Africa	Sub-Saharan Africa (202)	108	Burundi	Eastern Africa (014)	alcoholic beverage	Isongo	"brewed banana juice. It is a traditional beverage crafted from the juice of unique banana varieties. It is predominantly enjoyed in about ¾th of Burundi, where banana cultivation plays a vital role in the agricultural sector. Compared to Urawa, a very similar product, the juice obtained at he end of the process is not diluted with water, which lead to an higher content of alcohol. (See Urwarwa, 44)"	cavendish banana	"bananas (Ikisubi, Ibitsirye and Mugomozi)"	"Aloys, N., & Angeline, N. (2009b). Traditional fermented foods and beverages in Burundi. Food Research International, 42(5–6), 588–594. https://doi.org/10.1016/J.FOODRES.2009.02.021"		
Africa	Sub-Saharan Africa (202)	108	Burundi	Eastern Africa (014)	fermented roots	Ubswage			cassava	"Aloys, N., & Angeline, N. (2009b). Traditional fermented foods and beverages in Burundi. Food Research International, 42(5–6), 588–594. https://doi.org/10.1016/J.FOODRES.2009.02.021"		didn't found other literature
Africa	Sub-Saharan Africa (202)	108	Burundi	Eastern Africa (014)	dairy product	urubu	It is a traditional spontaneous fermented product.  It usually appearing as white milk  and it serves as the primary sour milk and can be used as a base for processing other dairy products. This product is made by allowing fresh raw bovine milk to ferment naturally at room temperature. It is consumed by people of all  categories.	cow milk	raw cow milk	"Aloys, N., & Angeline, N. (2009b). Traditional fermented foods and beverages in Burundi. Food Research International, 42(5–6), 588–594. https://doi.org/10.1016/J.FOODRES.2009.02.021"		
Africa	Sub-Saharan Africa (202)	108	Burundi	Eastern Africa (014)	alcoholic beverage	Urwarwa	"brewed banana juice. It is a traditional beverage crafted from the juice of unique banana varieties. It is predominantly enjoyed in about ¾th of Burundi, where banana cultivation plays a vital role in the agricultural sector. Compared to Isongo, a very similar product, the juice obtained at he end of the process is diluted with water, which lead to a lower content of alcohol. (See Isongo, 41)"	cavendish banana	"bananas (Ikisubi, Ibitsirye and Mugomozi)"	"Aloys, N., & Angeline, N. (2009b). Traditional fermented foods and beverages in Burundi. Food Research International, 42(5–6), 588–594. https://doi.org/10.1016/J.FOODRES.2009.02.021"		
Asia	South-eastern Asia (035)	116	Cambodia		fermented fish	prahoc	"Prohok has been a crucial component of Cambodian diets traditionally, playing a vital role in the nutrition and food security of rural families. It serves as the primary source of animal protein, supplying 76% of the protein intake, and a significant contributor of dietary iron, accounting for 37% of the intake for Cambodians. Additionally, prohok is known to be an essential source of essential fatty acids, vitamins, and minerals in their diets"	fish	riel (traditionally)	"Oh Lee & Lee (2012) , (LeGrand et al., 2020),  https://doi.org/10.1186/S42779-019-0027-1/FIGURES/16"		
Americas (019)	Latin America and the Caribbean (419)	222	El Salvador	Central America (013)	fermented vegetables	Curtido	"A type of lightly fermented cabbage relish. It is typical in Salvadoran cuisine and that of other Central American countries, and is usually made with cabbage, onions, carrots, and sometimes lime juice"	cabbage	cabbage		https://en.wikipedia.org/wiki/Curtido	didn't found any better reference than wiki
Europe	Eastern Europe (151)	643	Russian Federation		dairy product	Smetana (dairy product)	"type  Sour cream, also known as ""smetana,"" is a traditional dairy product in Slavic cuisine. It is produced by manually stirring cream and allowing it to ferment using the back-slopping method. The sour cream achieves its unique taste and thickness during the final maturation in cold conditions. The fat content can vary from 10% to 30% also: Smântână"	cow milk	cow milk	"(Kochetkova et al., 2022)"		
Asia	Eastern Asia (030)	156	China		alcoholic beverage	Baijiu	"colourless liquor typically coming in between 35% and 60% alcohol by volume . Each type of baijiu uses a distinct type of Qū for fermentation unique to the distillery for the distinct and characteristic flavour profile. The production process of Chinese Baijiu involves a complex fermentation system with various microorganisms and a variety of raw grains like sorghum, rice, wheat, or millet. Unique fermentation technology is employed to process these grains. Baijiu is typically produced through natural solid-state fermentation, where different microbial species, including yeasts, bacteria, and molds, work simultaneously to saccharify and ferment the grains. This contributes to the diverse flavor types and complex characteristics found in this product."	"sorghum, rice, wheat, millet"	"sorghum, rice, wheat, or millet"	"(Tu et al., 2022) https://doi.org/10.3389/FMICB.2022.919044"		
												
												
												
								g				
