,Category,Product,Country_code
174,fermented fish,"Ciss'uq, Ciss'ur",840
175,fermented fish,Faaqassaeq,840
176,fermented fish,Tepa,840
177,fermented fish,Funazushi,392
178,fermented fish,Dayok,608
179,fermented fish,Tinabal,608
180,fermented fish,Bagoong monamon,608
181,fermented fish,Patis,608
181,fermented fish,Patis,360
182,fermented cereal,Jalebi,004
182,fermented cereal,Jalebi,012
182,fermented cereal,Jalebi,480
182,fermented cereal,Jalebi,031
182,fermented cereal,Jalebi,050
182,fermented cereal,Jalebi,818
182,fermented cereal,Jalebi,231
182,fermented cereal,Jalebi,242
182,fermented cereal,Jalebi,356
182,fermented cereal,Jalebi,364
182,fermented cereal,Jalebi,368
182,fermented cereal,Jalebi,524
182,fermented cereal,Jalebi,586
182,fermented cereal,Jalebi,144
182,fermented cereal,Jalebi,760
182,fermented cereal,Jalebi,788
182,fermented cereal,Jalebi,792
183,fermented cereal,Thumba,50
184,fermented cereal,Mawè,204
185,fermented cereal,Bogobe,72
186,fermented cereal,Ting,72
187,fermented cereal,Jamin-bang,76
188,fermented cereal,Ben-saalga,854
189,fermented cereal,Mahewu,710
190,fermented cereal,Idli,356
190,fermented cereal,Idli,144
191,fermented cereal,Chee-fan,156
192,fermented cereal,Hamanatto,392
193,fermented cereal,Mirin,392
194,fermented cereal,Mantou,156
195,fermented cereal,Minchin,156
196,fermented cereal,Angkak,156
197,fermented cereal,Lao-chao,156
197,fermented cereal,Lao-chao,360
198,fermented cereal,Poto poto,178
199,fermented cereal,Arkatena,196
200,fermented cereal,Sierra rice,218
201,fermented cereal,Boza,818
202,fermented cereal,Egyptian Kishk,818
203,fermented cereal,Rukkileib,233
204,fermented cereal,Kvass,233
204,fermented cereal,Kvass,643
204,fermented cereal,Kvass,616
205,fermented cereal,Injera,231
205,fermented cereal,Injera,232
205,fermented cereal,Injera,706
206,fermented cereal,Kichudok,404
207,fermented cereal,Chongju,404
208,fermented cereal,Christstollen,276
209,fermented cereal,Ogi,204
209,fermented cereal,Ogi,768
209,fermented cereal,Ogi,288
209,fermented cereal,Ogi,566
210,fermented cereal,Lebkuchen,276
211,fermented cereal,Banku,288
212,fermented cereal,Kenkey,288
212,fermented cereal,Kenkey,384
212,fermented cereal,Kenkey,768
212,fermented cereal,Kenkey,204
212,fermented cereal,Kenkey,328
212,fermented cereal,Kenkey,388
213,fermented cereal,Koko,288
213,fermented cereal,Koko,566
214,fermented cereal,Trahana,300
215,fermented cereal,Eftazyma,300
216,fermented cereal,Taotjo,356
217,fermented cereal,"Aakhone, Axone",356
218,fermented cereal,Chakuli pitha,356
219,fermented cereal,Dosa,356
220,fermented cereal,Enduri Pitha,356
221,fermented cereal,Kanji,356
222,fermented cereal,Ogi,566
223,fermented cereal,masa,566
224,fermented cereal,Kunun-zaki,566
225,fermented cereal,Fura,566
226,fermented cereal,Khaman,356
227,fermented cereal,Kurdi,356
228,fermented cereal,Torani,356
229,fermented cereal,Bhattejaanr,356
230,fermented cereal,Adai,356
231,fermented cereal,Anarshe,356
232,fermented cereal,Handawa,356
233,fermented cereal,Selroti,356
233,fermented cereal,Selroti,524
234,fermented cereal,"Papadam, Papadum, Papad",356
234,fermented cereal,"Papadam, Papadum, Papad",586
234,fermented cereal,"Papadam, Papadum, Papad",050
235,fermented cereal,Appam,356
235,fermented cereal,Appam,144
236,fermented cereal,Brem,360
237,fermented cereal,Kecap,360
238,fermented cereal,Tempeh,360
239,fermented cereal,Pane di Laterza,380
240,fermented cereal,Pane di Matera,380
241,fermented cereal,Pan di Sorc,380
242,fermented cereal,Amazake,392
243,fermented cereal,Salinata,428
244,fermented cereal,Ftira,470
245,fermented cereal,Tandir Ekmegi,792
246,fermented cereal,Sowans,826
247,fermented cereal,Chibwantu,894
248,fermented cereal,Munkoyo,894
248,fermented cereal,Munkoyo,178
249,fermented cereal,Puto,608
250,fermented cereal,Tapuy,608
251,fermented cereal,Pangasi,608
252,fermented cereal,Bors,642
253,fermented cereal,Braga,642
254,dairy product,Amateregua,108
255,dairy product,Urubu,108
256,dairy product,Amavuta,108
257,dairy product,Nono,nan
258,dairy product,Laban rayeb,818
259,dairy product,Piima,246
260,dairy product,Creme fraiche,250
261,dairy product,Buttermilk,nan
262,dairy product,Chaas,356
263,dairy product,Phrung,356
264,dairy product,Somar,356
265,dairy product,"Ghee, Gheu",356
266,dairy product,Shrikhand,356
267,dairy product,"Misti dahi, Mishti doi, Lal dahi, Payodhi",356
267,dairy product,"Misti dahi, Mishti doi, Lal dahi, Payodhi",050
268,dairy product,"Pheuja, Suja",356
268,dairy product,"Pheuja, Suja",064
268,dairy product,"Pheuja, Suja",524
269,dairy product,Philu,356
269,dairy product,Philu,524
269,dairy product,Philu,156
270,dairy product,Dadih,360
271,dairy product,Doogh,364
272,dairy product,"Kaymak, Kajmak, Kaimak, Gemagh, Geymar",364
272,dairy product,"Kaymak, Kajmak, Kaimak, Gemagh, Geymar",368
272,dairy product,"Kaymak, Kajmak, Kaimak, Gemagh, Geymar",268
272,dairy product,"Kaymak, Kajmak, Kaimak, Gemagh, Geymar",792
272,dairy product,"Kaymak, Kajmak, Kaimak, Gemagh, Geymar",300
272,dairy product,"Kaymak, Kajmak, Kaimak, Gemagh, Geymar",422
272,dairy product,"Kaymak, Kajmak, Kaimak, Gemagh, Geymar",807
272,dairy product,"Kaymak, Kajmak, Kaimak, Gemagh, Geymar",688
272,dairy product,"Kaymak, Kajmak, Kaimak, Gemagh, Geymar",760
272,dairy product,"Kaymak, Kajmak, Kaimak, Gemagh, Geymar",499
272,dairy product,"Kaymak, Kajmak, Kaimak, Gemagh, Geymar",070
272,dairy product,"Kaymak, Kajmak, Kaimak, Gemagh, Geymar",004
272,dairy product,"Kaymak, Kajmak, Kaimak, Gemagh, Geymar",031
272,dairy product,"Kaymak, Kajmak, Kaimak, Gemagh, Geymar",398
272,dairy product,"Kaymak, Kajmak, Kaimak, Gemagh, Geymar",586
273,dairy product,Maziwa lala,404
274,dairy product,Ryazhenka,643
274,dairy product,Ryazhenka,112
274,dairy product,Ryazhenka,804
275,dairy product,Smetana,643
275,dairy product,Smetana,804
276,dairy product,"Chal, Shuba,Khoormog",795
276,dairy product,"Chal, Shuba,Khoormog",860
276,dairy product,"Chal, Shuba,Khoormog",398
277,dairy product,Kumis,496
277,dairy product,Kumis,156
277,dairy product,Kumis,398
278,dairy product,Kefir,643
279,dairy product,Koumiss,643
279,dairy product,Koumiss,156
279,dairy product,Koumiss,496
280,dairy product,Acidophiline,643
280,dairy product,Acidophiline,804
281,dairy product,Zincica,703
281,dairy product,Zincica,203
281,dairy product,Zincica,616
282,dairy product,Kislo mleko,705
283,condiment,Okpehe,566
284,condiment,Ugba,566
285,condiment,Ofowoh,566
286,condiment,Ogiri,566
287,condiment,Afitin,204
288,condiment,Maari,854
289,condiment,Balsamic Vinegar,380
290,cheese,Kashkaval,008
290,cheese,Kashkaval,100
290,cheese,Kashkaval,807
290,cheese,Kashkaval,688
290,cheese,Kashkaval,642
290,cheese,Kashkaval,643
291,cheese,"Urdha, Urda, Vurda, Orda, Izvara, Zsendice",008
291,cheese,"Urdha, Urda, Vurda, Orda, Izvara, Zsendice",642
291,cheese,"Urdha, Urda, Vurda, Orda, Izvara, Zsendice",807
291,cheese,"Urdha, Urda, Vurda, Orda, Izvara, Zsendice",498
291,cheese,"Urdha, Urda, Vurda, Orda, Izvara, Zsendice",100
291,cheese,"Urdha, Urda, Vurda, Orda, Izvara, Zsendice",688
291,cheese,"Urdha, Urda, Vurda, Orda, Izvara, Zsendice",348
291,cheese,"Urdha, Urda, Vurda, Orda, Izvara, Zsendice",804
292,cheese,"Motal Paniri, Panire Khiki, Panire Pousti",051
292,cheese,"Motal Paniri, Panire Khiki, Panire Pousti",792
293,cheese,Bregenzerwalder Mountain Cheese,40
294,cheese,Montafoner Suure Kees,40
295,cheese,Glundner cheese,40
296,cheese,Ennstaler Steirerkas,40
297,cheese,Tiroler Graukase,040
297,cheese,Tiroler Graukase,380
298,cheese,Pas de Rouge,56
299,cheese,Herve,56
300,cheese,Queijo minas,76
301,cheese,Requeson,076
301,cheese,Requeson,484
301,cheese,Requeson,858
302,cheese,Cherni Vit Green Cheese,100
303,cheese,Sirene,100
304,cheese,Pag Island Cheese,191
305,cheese,Halloumi,196
306,cheese,Anari,196
307,cheese,Wara,566
308,cheese,Olomouc cheese,203
309,cheese,Dana Blu,208
310,cheese,Juustoleipä,246
311,cheese,Angelot,250
312,cheese,Basque Pyrenees Mountain Cheeses,250
313,cheese,Bleu de Termignon,250
314,cheese,Brie,250
315,cheese,Camembert,250
316,cheese,Cantal,250
317,cheese,Comte,250
318,cheese,Demi-sel,250
319,cheese,Faisselle,250
320,cheese,Laguiole,250
321,cheese,Munster,250
322,cheese,Picodon,250
323,cheese,Poligny Saint Pierre,250
324,cheese,Pont-l'Évêque,250
325,cheese,Roquefort,250
326,cheese,Bleu d'Auvergne,250
327,cheese,Saint-Nectaire,250
328,cheese,Sainte-Maure de Touraine,250
329,cheese,Saint-Paulin,250
330,cheese,Selles-sur-Cher,250
331,cheese,Fourme d'Ambert,250
332,cheese,Fourme de Montbrison,250
333,cheese,Reblochon,250
334,cheese,Langres,250
335,cheese,Banon,250
336,cheese,Epoisses de Bourgogne,250
337,cheese,Mimolette (Boule de Lille),250
338,cheese,Carre de l'est,250
339,cheese,Port Salut,250
340,cheese,Tomme de Savoie,250
341,cheese,Beaufort,250
342,cheese,Sulguni,268
343,cheese,Milbenkase,276
344,cheese,Feta,300
345,cheese,Kasseri,300
346,cheese,Kopanisti,300
347,cheese,"Manouri, Anthotyros, Mizithra",300
348,cheese,Graviera Agrafon,300
349,cheese,Graviera Kritis,300
350,cheese,Graviera Naxou,300
351,cheese,Kefalotyri,300
351,cheese,Kefalotyri,196
352,cheese,"Kalari, Kradi",356
353,cheese,Dudh churpi,356
353,cheese,Dudh churpi,064
353,cheese,Dudh churpi,524
354,cheese,"Chhu, Sheden",356
354,cheese,"Chhu, Sheden",064
354,cheese,"Chhu, Sheden",524
354,cheese,"Chhu, Sheden",156
355,cheese,Chhurpi,356
355,cheese,Chhurpi,064
355,cheese,Chhurpi,524
355,cheese,Chhurpi,156
356,cheese,Paneer,356
356,cheese,Paneer,524
356,cheese,Paneer,568
356,cheese,Paneer,050
357,cheese,Durrus,372
358,cheese,Dilliskus,372
359,cheese,Gubbeen,372
360,cheese,Cashel Blue,372
361,cheese,Milleens,372
362,cheese,Fontina Val D'Aosta,380
363,cheese,Pecorino Romano,380
364,cheese,Montasio,380
365,cheese,Valle D'Aosta Fromadzo,380
366,cheese,Murazzano,380
367,cheese,Asiago,380
368,cheese,"Bros, Bross, Brus, Bruss, Bruzzo",380
369,cheese,Burrata,380
370,cheese,Caciocavallo,380
371,cheese,Caprino Fresco,380
372,cheese,Caprino Stagionato,380
373,cheese,Casu martzu,380
374,cheese,Gorgonzola,380
375,cheese,Grana Padano,380
376,cheese,Mascarpone,380
377,cheese,Mozzarella di Bufala,380
378,cheese,Pecorino Sardo,380
379,cheese,Pecorino Siciliano,380
380,cheese,Pecorino Toscano,380
381,cheese,Provolone del Monaco,380
382,cheese,Provolone Valpadana,380
383,cheese,Ricotta,380
384,cheese,Taleggio,380
385,cheese,Liliputas,440
386,cheese,Queso anejo,484
387,cheese,Gouda,528
388,cheese,Edam,528
389,cheese,Nagelkaas,528
390,cheese,Kanterkaas,528
391,cheese,Gamalost,578
392,cheese,Telemea,642
393,cheese,Bryndza,703
393,cheese,Bryndza,642
393,cheese,Bryndza,616
394,cheese,Manchego,724
395,cheese,Queso Tetilla,724
396,cheese,Torta del Cesar,724
397,cheese,Idiazabal,724
398,cheese,Mahon,724
399,cheese,Svecia,752
400,cheese,Källarlagrad Getost,752
401,cheese,Västerbotten,752
402,cheese,Appenzeller Käse,756
403,cheese,Emmental cheese,756
404,cheese,Gruyère,756
405,cheese,Tilsiter,756
406,cheese,Vacherin Fribourgeois,756
407,cheese,Schabziger,756
408,cheese,Vacherin Mont-d'Or,756
408,cheese,Vacherin Mont-d'Or,250
409,cheese,Bloder-Sauer Kaese,756
409,cheese,Bloder-Sauer Kaese,438
410,cheese,Beyaz peynir,792
411,cheese,Lor,792
411,cheese,Lor,364
412,cheese,Cheddar,826
413,cheese,Stichelton,826
414,cheese,Crowdie,826
415,cheese,Stilton,826
416,cheese,Yarg Cornish Cheese,826
417,cheese,Caerphilly,826
418,cheese,Caboc,826
419,cheese,Monterey Jack,840
420,cheese,Queijo Serra da Estrela,620
421,cheese,Serpa,620
422,beer,Lambic beer,56
423,beer,Busaa,nan
424,beer,Pito,566
424,beer,Pito,288
425,beer,Tella,231
426,beer,Sahti,246
427,beer,Bouza,818
428,alcoholic beverage,Arrak,356
428,alcoholic beverage,Arrak,156
428,alcoholic beverage,Arrak,064
429,alcoholic beverage,Chhaang,356
429,alcoholic beverage,Chhaang,524
429,alcoholic beverage,Chhaang,064
429,alcoholic beverage,Chhaang,156
430,alcoholic beverage,Krautinger,40
431,alcoholic beverage,Gowe,204
432,alcoholic beverage,Tchoukoutou,204
433,alcoholic beverage,Impeke,108
434,alcoholic beverage,Isongo,108
435,alcoholic beverage,Urwarwa,108
436,alcoholic beverage,Baijiu,156
437,alcoholic beverage,Choujiu,156
438,alcoholic beverage,Huangjiu,156
439,alcoholic beverage,Tapai,458
439,alcoholic beverage,Tapai,360
440,alcoholic beverage,"Sake, Seishu",392
441,alcoholic beverage,Shōchū,392
442,alcoholic beverage,Feni,356
443,alcoholic beverage,Lychee wine,156
444,alcoholic beverage,Shaoxing-jiu,156
445,alcoholic beverage,Colombian Champus,170
446,alcoholic beverage,Burukutu,566
446,alcoholic beverage,Burukutu,204
446,alcoholic beverage,Burukutu,288
447,alcoholic beverage,Tej,231
447,alcoholic beverage,Tej,232
448,alcoholic beverage,Ewhaju,404
449,alcoholic beverage,Cider,250
449,alcoholic beverage,Cider,724
449,alcoholic beverage,Cider,372
449,alcoholic beverage,Cider,705
450,alcoholic beverage,Poro Apong,356
451,alcoholic beverage,Atingba,356
452,alcoholic beverage,Chulli,356
453,alcoholic beverage,Daru,356
454,alcoholic beverage,Ennog,356
455,alcoholic beverage,Jou,356
456,alcoholic beverage,Agadagidi,566
457,alcoholic beverage,Ogogoro,566
458,alcoholic beverage,Kishk,818
459,alcoholic beverage,Oti-oka,566
460,alcoholic beverage,Tej,231
461,alcoholic beverage,Mingiri,356
462,alcoholic beverage,Lohpani,356
463,alcoholic beverage,Bhangchang,356
464,alcoholic beverage,Nareli,356
465,alcoholic beverage,Sura,356
466,alcoholic beverage,Tari,356
467,alcoholic beverage,Themsing,356
468,alcoholic beverage,Yu,356
469,alcoholic beverage,Zu,356
470,alcoholic beverage,"Zutho, Zhuchu",356
471,alcoholic beverage,Nchiangne,356
472,alcoholic beverage,Pona,356
473,alcoholic beverage,Ruhi,356
474,alcoholic beverage,Sing sing,356
475,alcoholic beverage,Bhaati jaanr,356
475,alcoholic beverage,Bhaati jaanr,064
475,alcoholic beverage,Bhaati jaanr,524
476,alcoholic beverage,"Chhaang, Chhyang, Lugri",356
476,alcoholic beverage,"Chhaang, Chhyang, Lugri",524
476,alcoholic beverage,"Chhaang, Chhyang, Lugri",156
477,alcoholic beverage,Makai ko jaanr,356
477,alcoholic beverage,Makai ko jaanr,524
478,alcoholic beverage,Raksi,356
478,alcoholic beverage,Raksi,524
479,alcoholic beverage,Simal tarul ko jaanr,356
479,alcoholic beverage,Simal tarul ko jaanr,524
480,alcoholic beverage,Faapar ko jaanr,356
480,alcoholic beverage,Faapar ko jaanr,524
481,alcoholic beverage,Tuba,608
481,alcoholic beverage,Tuba,484
481,alcoholic beverage,Tuba,384
481,alcoholic beverage,Tuba,566
482,alcoholic beverage,Blaand,826
482,alcoholic beverage,Blaand,578
482,alcoholic beverage,Blaand,352
483,alcoholic beverage,Mead,nan
484,alcoholic beverage,Sima,246
485,alcoholic beverage,"Gahoon ko jaanr, Gahun ko jaanr",356
485,alcoholic beverage,"Gahoon ko jaanr, Gahun ko jaanr",524
486,alcoholic beverage,"Jao ko jaanr, Jaun ko jaanr",356
486,alcoholic beverage,"Jao ko jaanr, Jaun ko jaanr",524
487,alcoholic beverage,Kodo ko jaanr,356
487,alcoholic beverage,Kodo ko jaanr,524
487,alcoholic beverage,Kodo ko jaanr,064
487,alcoholic beverage,Kodo ko jaanr,156
488,alcoholic beverage,Basi,608
489,acid beverage,Kombucha,nan
490,fermented vegetables,Abacha,566
491,other,Telur Asin,360
